n,nodes
64,9
128,14
192,13
256,17
320,50
384,88
448,383
512,861
576,1103
640,3606
704,4437
768,30416
832,34839
896,14125
960,26030
1024,124252
1088,76838
1152,276368
1216,45676
1280,215604
1344,593796
1408,837234
1472,1098507
1536,900030
1536,OOM
1600,939350
1600,OOM
1664,1398101
1664,OOM
1728,701954
1728,OOM
1792,1398101
1792,OOM
1856,1398101
1856,OOM
1920,OOM
1984,OOM
2048,OOM
2112,OOM
2176,OOM
2240,OOM
2304,OOM
2368,OOM
2432,OOM
2496,OOM
2560,OOM
2624,OOM
2688,OOM
2752,OOM
2816,OOM
2880,OOM
2944,OOM
3008,OOM
3072,OOM
3136,OOM
3200,OOM
3264,OOM
3328,OOM
3392,OOM
3456,OOM
3520,OOM
3584,OOM
3648,OOM
3712,OOM
3776,OOM
3840,OOM
3904,OOM
3968,OOM
4032,OOM
