n,nodes
64,9
128,17
192,10
256,17
320,49
384,88
448,387
512,744
576,978
640,3570
704,4627
768,25941
832,39420
896,13022
960,27707
1024,126567
1088,76532
1152,317556
1216,51269
1280,224550
1344,617910
1408,886600
1472,1154246
1536,996431
1536,OOM
1600,742741
1600,OOM
1664,1398101
1664,OOM
1728,701867
1728,OOM
1792,1398101
1792,OOM
1856,1398101
1856,OOM
1920,OOM
1984,OOM
2048,OOM
2112,OOM
2176,OOM
2240,OOM
2304,OOM
2368,OOM
2432,OOM
2496,OOM
2560,OOM
2624,OOM
2688,OOM
2752,OOM
2816,OOM
2880,OOM
2944,OOM
3008,OOM
3072,OOM
3136,OOM
3200,OOM
3264,OOM
3328,OOM
3392,OOM
3456,OOM
3520,OOM
3584,OOM
3648,OOM
3712,OOM
3776,OOM
3840,OOM
3904,OOM
3968,OOM
4032,OOM
