n,nodes
64,8
128,15
192,13
256,17
320,53
384,89
448,324
512,757
576,1147
640,3413
704,4530
768,23990
832,34133
896,12128
960,27891
1024,124834
1088,76772
1152,280868
1216,57462
1280,219819
1344,639756
1408,837234
1472,1098507
1536,907577
1536,OOM
1600,885729
1600,OOM
1664,1398101
1664,OOM
1728,701954
1728,OOM
1792,1398101
1792,OOM
1856,OOM
1920,OOM
1984,OOM
2048,OOM
2112,OOM
2176,OOM
2240,OOM
2304,OOM
2368,OOM
2432,OOM
2496,OOM
2560,OOM
2624,OOM
2688,OOM
2752,OOM
2816,OOM
2880,OOM
2944,OOM
3008,OOM
3072,OOM
3136,OOM
3200,OOM
3264,OOM
3328,OOM
3392,OOM
3456,OOM
3520,OOM
3584,OOM
3648,OOM
3712,OOM
3776,OOM
3840,OOM
3904,OOM
3968,OOM
4032,OOM
