n,nodes
64,9
128,14
192,12
256,17
320,49
384,132
448,332
512,853
576,1059
640,3502
704,4396
768,22037
832,31541
896,12482
960,24234
1024,122083
1088,87381
1152,293749
1216,55255
1280,236326
1344,625112
1408,873813
1472,1142350
1536,983042
1536,OOM
1600,939351
1600,OOM
1664,1398101
1664,OOM
1728,701955
1728,OOM
1792,1398101
1792,OOM
1856,1398101
1856,OOM
1920,OOM
1984,OOM
2048,OOM
2112,OOM
2176,OOM
2240,OOM
2304,OOM
2368,OOM
2432,OOM
2496,OOM
2560,OOM
2624,OOM
2688,OOM
2752,OOM
2816,OOM
2880,OOM
2944,OOM
3008,OOM
3072,OOM
3136,OOM
3200,OOM
3264,OOM
3328,OOM
3392,OOM
3456,OOM
3520,OOM
3584,OOM
3648,OOM
3712,OOM
3776,OOM
3840,OOM
3904,OOM
3968,OOM
4032,OOM
