n,nodes
64,8
128,14
192,13
256,17
320,57
384,144
448,341
512,685
576,1072
640,3543
704,4437
768,25713
832,35942
896,13028
960,26191
1024,117641
1088,87381
1152,242725
1216,53302
1280,233016
1344,618754
1408,873813
1472,1123473
1536,1149066
1536,OOM
1600,862416
1600,OOM
1664,1398101
1664,OOM
1728,702088
1728,OOM
1792,1398101
1792,OOM
1856,1398101
1856,OOM
1920,OOM
1984,OOM
2048,OOM
2112,OOM
2176,OOM
2240,OOM
2304,OOM
2368,OOM
2432,OOM
2496,OOM
2560,OOM
2624,OOM
2688,OOM
2752,OOM
2816,OOM
2880,OOM
2944,OOM
3008,OOM
3072,OOM
3136,OOM
3200,OOM
3264,OOM
3328,OOM
3392,OOM
3456,OOM
3520,OOM
3584,OOM
3648,OOM
3712,OOM
3776,OOM
3840,OOM
3904,OOM
3968,OOM
4032,OOM
