n,nodes
64,8
128,15
192,13
256,17
320,53
384,88
448,341
512,789
576,1121
640,3413
704,4415
768,27891
832,36668
896,12629
960,37034
1024,136544
1088,73555
1152,291270
1216,56899
1280,229123
1344,605572
1408,896608
1472,1159788
1536,885380
1536,OOM
1600,911263
1600,OOM
1664,1398101
1664,OOM
1728,701940
1728,OOM
1792,1398101
1792,OOM
1856,OOM
1920,OOM
1984,OOM
2048,OOM
2112,OOM
2176,OOM
2240,OOM
2304,OOM
2368,OOM
2432,OOM
2496,OOM
2560,OOM
2624,OOM
2688,OOM
2752,OOM
2816,OOM
2880,OOM
2944,OOM
3008,OOM
3072,OOM
3136,OOM
3200,OOM
3264,OOM
3328,OOM
3392,OOM
3456,OOM
3520,OOM
3584,OOM
3648,OOM
3712,OOM
3776,OOM
3840,OOM
3904,OOM
3968,OOM
4032,OOM
