n,nodes
64,11
128,21
192,21
256,21
320,33
384,35
448,85
512,207
576,139
640,557
704,549
768,2210
832,1203
896,3822
960,2218
1024,5461
1088,29217
1152,9035
1216,33213
1280,92011
1344,13067
1408,47027
1472,116394
1536,115467
1600,237177
1664,218453
1728,349525
1728,OOM
1792,218453
1792,OOM
1856,OOM
1920,349525
1920,OOM
1984,127710
1984,OOM
2048,349525
2048,OOM
2112,OOM
2176,OOM
2240,OOM
2304,OOM
2368,OOM
2432,OOM
2496,OOM
2560,OOM
2624,OOM
2688,OOM
2752,OOM
2816,OOM
2880,OOM
2944,OOM
3008,OOM
3072,OOM
3136,OOM
3200,OOM
3264,OOM
3328,OOM
3392,OOM
3456,OOM
3520,OOM
3584,OOM
3648,OOM
3712,OOM
3776,OOM
3840,OOM
3904,OOM
3968,OOM
4032,OOM
