n,nodes
64,7
128,21
192,21
256,21
320,37
384,24
448,85
512,187
576,129
640,575
704,650
768,1556
832,1034
896,3147
960,1970
1024,5461
1088,7237
1152,7845
1216,23182
1280,78064
1344,13262
1408,45415
1472,94684
1536,77824
1600,149208
1664,96112
1728,649714
1792,591190
1856,841949
1856,OOM
1920,349525
1920,OOM
1984,265045
1984,OOM
2048,703422
2048,OOM
2112,699735
2112,OOM
2176,OOM
2240,OOM
2304,349525
2304,OOM
2368,349525
2368,OOM
2432,OOM
2496,OOM
2560,OOM
2624,OOM
2688,OOM
2752,OOM
2816,OOM
2880,OOM
2944,OOM
3008,OOM
3072,OOM
3136,OOM
3200,OOM
3264,OOM
3328,OOM
3392,OOM
3456,OOM
3520,OOM
3584,OOM
3648,OOM
3712,OOM
3776,OOM
3840,OOM
3904,OOM
3968,OOM
4032,OOM
