n,nodes
64,8
128,21
192,21
256,21
320,33
384,24
448,85
512,188
576,99
640,641
704,523
768,1461
832,1015
896,2794
960,1783
1024,5461
1088,7010
1152,6978
1216,22327
1280,74637
1344,12889
1408,38538
1472,96452
1536,85893
1600,164620
1664,106245
1728,617730
1792,603830
1856,841972
1856,OOM
1920,349525
1920,OOM
1984,252253
1984,OOM
2048,819202
2048,OOM
2112,699738
2112,OOM
2176,OOM
2240,OOM
2304,349525
2304,OOM
2368,349525
2368,OOM
2432,OOM
2496,OOM
2560,OOM
2624,OOM
2688,OOM
2752,OOM
2816,OOM
2880,OOM
2944,OOM
3008,OOM
3072,OOM
3136,OOM
3200,OOM
3264,OOM
3328,OOM
3392,OOM
3456,OOM
3520,OOM
3584,OOM
3648,OOM
3712,OOM
3776,OOM
3840,OOM
3904,OOM
3968,OOM
4032,OOM
