n,nodes
64,6
128,21
192,21
256,21
320,37
384,23
448,85
512,202
576,136
640,581
704,591
768,1443
832,1034
896,2972
960,1768
1024,5461
1088,6295
1152,7889
1216,23188
1280,73727
1344,12231
1408,38884
1472,62241
1536,80957
1600,156452
1664,104940
1728,632153
1792,637200
1856,823164
1856,OOM
1920,349525
1920,OOM
1984,263252
1984,OOM
2048,819204
2048,OOM
2112,699737
2112,OOM
2176,OOM
2240,OOM
2304,349525
2304,OOM
2368,349525
2368,OOM
2432,OOM
2496,OOM
2560,OOM
2624,OOM
2688,OOM
2752,OOM
2816,OOM
2880,OOM
2944,OOM
3008,OOM
3072,OOM
3136,OOM
3200,OOM
3264,OOM
3328,OOM
3392,OOM
3456,OOM
3520,OOM
3584,OOM
3648,OOM
3712,OOM
3776,OOM
3840,OOM
3904,OOM
3968,OOM
4032,OOM
