n,nodes
64,7
128,21
192,21
256,21
320,37
384,25
448,85
512,172
576,102
640,597
704,597
768,1463
832,965
896,2730
960,1877
1024,5461
1088,7217
1152,6838
1216,25465
1280,92062
1344,13750
1408,41952
1472,104887
1536,87383
1600,171349
1664,107305
1728,635979
1792,654229
1856,584377
1856,OOM
1920,349525
1920,OOM
1984,252330
1984,OOM
2048,819203
2048,OOM
2112,699735
2112,OOM
2176,OOM
2240,OOM
2304,349525
2304,OOM
2368,349525
2368,OOM
2432,OOM
2496,OOM
2560,OOM
2624,OOM
2688,OOM
2752,OOM
2816,OOM
2880,OOM
2944,OOM
3008,OOM
3072,OOM
3136,OOM
3200,OOM
3264,OOM
3328,OOM
3392,OOM
3456,OOM
3520,OOM
3584,OOM
3648,OOM
3712,OOM
3776,OOM
3840,OOM
3904,OOM
3968,OOM
4032,OOM
