n,nodes
64,9
128,21
192,21
256,21
320,32
384,26
448,85
512,173
576,98
640,538
704,545
768,1459
832,889
896,2883
960,1911
1024,5461
1088,6875
1152,7344
1216,23350
1280,81362
1344,14092
1408,37301
1472,81906
1536,126423
1600,175058
1664,105550
1728,643143
1792,610032
1856,925574
1856,OOM
1920,349525
1920,OOM
1984,218498
1984,OOM
2048,819202
2048,OOM
2112,699735
2112,OOM
2176,OOM
2240,OOM
2304,349525
2304,OOM
2368,349525
2368,OOM
2432,OOM
2496,OOM
2560,OOM
2624,OOM
2688,OOM
2752,OOM
2816,OOM
2880,OOM
2944,OOM
3008,OOM
3072,OOM
3136,OOM
3200,OOM
3264,OOM
3328,OOM
3392,OOM
3456,OOM
3520,OOM
3584,OOM
3648,OOM
3712,OOM
3776,OOM
3840,OOM
3904,OOM
3968,OOM
4032,OOM
