n,nodes
64,10
128,21
192,21
256,21
320,36
384,38
448,85
512,192
576,147
640,633
704,566
768,2222
832,1151
896,3705
960,2467
1024,5461
1088,24896
1152,9415
1216,32271
1280,80895
1344,12432
1408,46777
1472,110786
1536,125322
1600,209308
1664,190858
1728,349525
1728,OOM
1792,218453
1792,OOM
1856,OOM
1920,349525
1920,OOM
1984,87381
1984,OOM
2048,OOM
2112,OOM
2176,OOM
2240,OOM
2304,OOM
2368,OOM
2432,OOM
2496,OOM
2560,OOM
2624,OOM
2688,OOM
2752,OOM
2816,OOM
2880,OOM
2944,OOM
3008,OOM
3072,OOM
3136,OOM
3200,OOM
3264,OOM
3328,OOM
3392,OOM
3456,OOM
3520,OOM
3584,OOM
3648,OOM
3712,OOM
3776,OOM
3840,OOM
3904,OOM
3968,OOM
4032,OOM
