n,nodes
64,8
128,21
192,21
256,21
320,37
384,25
448,85
512,172
576,95
640,570
704,668
768,1472
832,1025
896,2692
960,1712
1024,5461
1088,8035
1152,7062
1216,24863
1280,87745
1344,11210
1408,40235
1472,107869
1536,101679
1600,170254
1664,105777
1728,618256
1792,631565
1856,925734
1856,OOM
1920,349525
1920,OOM
1984,202911
1984,OOM
2048,819202
2048,OOM
2112,699738
2112,OOM
2176,OOM
2240,OOM
2304,349525
2304,OOM
2368,349525
2368,OOM
2432,OOM
2496,OOM
2560,OOM
2624,OOM
2688,OOM
2752,OOM
2816,OOM
2880,OOM
2944,OOM
3008,OOM
3072,OOM
3136,OOM
3200,OOM
3264,OOM
3328,OOM
3392,OOM
3456,OOM
3520,OOM
3584,OOM
3648,OOM
3712,OOM
3776,OOM
3840,OOM
3904,OOM
3968,OOM
4032,OOM
