n,nodes
64,8
128,21
192,21
256,21
320,37
384,26
448,85
512,181
576,103
640,597
704,597
768,1462
832,1024
896,2937
960,1877
1024,5461
1088,7210
1152,6742
1216,27248
1280,91281
1344,13150
1408,42325
1472,109388
1536,87381
1600,173592
1664,111180
1728,646580
1792,617481
1856,584378
1856,OOM
1920,349525
1920,OOM
1984,249253
1984,OOM
2048,819203
2048,OOM
2112,699735
2112,OOM
2176,OOM
2240,OOM
2304,349525
2304,OOM
2368,349525
2368,OOM
2432,OOM
2496,OOM
2560,OOM
2624,OOM
2688,OOM
2752,OOM
2816,OOM
2880,OOM
2944,OOM
3008,OOM
3072,OOM
3136,OOM
3200,OOM
3264,OOM
3328,OOM
3392,OOM
3456,OOM
3520,OOM
3584,OOM
3648,OOM
3712,OOM
3776,OOM
3840,OOM
3904,OOM
3968,OOM
4032,OOM
