n,nodes
64,11
128,18
192,11
256,17
320,55
384,100
448,535
512,693
576,1193
640,3450
704,3389
768,22129
832,31300
896,13443
960,22527
1024,61200
1088,91477
1152,488789
1216,69181
1280,212839
1344,636245
1408,780682
1472,1127694
1472,OOT
1536,898389
1536,OOT
1600,382293
1600,OOT
1664,1548458
1664,OOT
1728,457658
1728,OOT
1792,OOT
1856,OOT
1920,OOT
1984,OOT
2048,OOT
2112,OOT
2176,OOT
2240,OOT
2304,OOT
2368,OOT
2432,OOT
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
