n,nodes
64,7
128,17
192,10
256,17
320,56
384,97
448,474
512,584
576,1185
640,3337
704,3352
768,29304
832,28547
896,14344
960,16968
1024,42598
1088,77273
1152,439280
1216,54999
1280,189434
1344,555496
1408,775509
1472,1602435
1536,2484075
1600,2016321
1664,1876558
1728,2040882
1792,6034775
1792,OOT
1856,2708832
1856,OOT
1920,2217563
1920,OOT
1984,7689557
1984,OOT
2048,OOT
2112,OOT
2176,OOT
2240,OOT
2304,OOT
2368,OOT
2432,OOT
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
