n,nodes
64,8
128,15
192,11
256,15
320,52
384,98
448,358
512,512
576,1237
640,2833
704,3122
768,25065
832,29785
896,12645
960,20392
1024,45481
1088,73280
1152,465955
1216,54445
1280,194032
1344,570710
1408,751885
1472,1882942
1536,2170197
1600,2188171
1664,2001074
1728,1679948
1792,5864899
1792,OOT
1856,2780319
1856,OOT
1920,2217562
1920,OOT
1984,7689557
1984,OOT
2048,OOT
2112,OOT
2176,OOT
2240,OOT
2304,OOT
2368,OOT
2432,OOT
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
