n,nodes
64,8
128,18
192,11
256,15
320,55
384,92
448,455
512,590
576,1183
640,3185
704,3170
768,21577
832,36703
896,13615
960,20925
1024,46115
1088,77393
1152,463831
1216,54656
1280,185299
1344,534702
1408,775509
1472,1746943
1536,2244840
1600,1993428
1664,1876558
1728,1617618
1792,6034775
1792,OOT
1856,2708832
1856,OOT
1920,2217563
1920,OOT
1984,7689557
1984,OOT
2048,OOT
2112,OOT
2176,OOT
2240,OOT
2304,OOT
2368,OOT
2432,OOT
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
