n,nodes
64,8
128,17
192,10
256,17
320,53
384,93
448,439
512,589
576,1208
640,3413
704,3234
768,28469
832,32469
896,13965
960,22166
1024,49624
1088,79452
1152,423085
1216,53463
1280,186328
1344,529385
1408,775509
1472,1616538
1536,2031742
1600,1821325
1600,OOT
1664,1954888
1728,1650739
1792,2807125
1792,OOT
1856,2811408
1856,OOT
1920,2217565
1920,OOT
1984,7689557
1984,OOT
2048,OOT
2112,OOT
2176,OOT
2240,OOT
2304,OOT
2368,OOT
2432,OOT
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
