n,nodes
64,7
128,17
192,11
256,16
320,48
384,90
448,404
512,583
576,1207
640,3301
704,3387
768,28905
832,34282
896,13717
960,18116
1024,52380
1088,91122
1152,452297
1216,54450
1280,194261
1344,520647
1408,686567
1472,1858608
1536,2037433
1600,2018143
1664,2084461
1728,1679948
1792,6034774
1792,OOT
1856,3233109
1856,OOT
1920,2217566
1920,OOT
1984,7689557
1984,OOT
2048,OOT
2112,OOT
2176,OOT
2240,OOT
2304,OOT
2368,OOT
2432,OOT
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
