n,nodes
64,11
128,18
192,10
256,18
320,56
384,93
448,440
512,577
576,1224
640,3176
704,3421
768,23463
832,29219
896,12377
960,21565
1024,61552
1088,98860
1152,461234
1216,66994
1280,211248
1344,677205
1408,775509
1472,1032874
1472,OOT
1536,976330
1536,OOT
1600,382293
1600,OOT
1664,1548458
1664,OOT
1728,459541
1728,OOT
1792,OOT
1856,OOT
1920,OOT
1984,OOT
2048,OOT
2112,OOT
2176,OOT
2240,OOT
2304,OOT
2368,OOT
2432,OOT
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
