n,nodes
64,9
128,15
192,11
256,17
320,54
384,89
448,405
512,645
576,1246
640,3249
704,3430
768,26450
832,41164
896,14060
960,21970
1024,47572
1088,89056
1152,452926
1216,54026
1280,195282
1344,540435
1408,736783
1472,1736533
1536,2031742
1600,2018145
1664,1901397
1728,1693081
1792,6034776
1792,OOT
1856,3233109
1856,OOT
1920,2217564
1920,OOT
1984,7689557
1984,OOT
2048,OOT
2112,OOT
2176,OOT
2240,OOT
2304,OOT
2368,OOT
2432,OOT
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
