n,nodes
64,8
128,17
192,11
256,17
320,53
384,93
448,465
512,605
576,1205
640,3413
704,3285
768,35990
832,31256
896,13403
960,20309
1024,49519
1088,83801
1152,432810
1216,54617
1280,191246
1344,581187
1408,751885
1472,1736533
1536,1247134
1536,OOT
1600,2014733
1664,1907983
1664,OOT
1728,1671500
1792,2807125
1792,OOT
1856,2446687
1856,OOT
1920,2217565
1920,OOT
1984,7689557
1984,OOT
2048,OOT
2112,OOT
2176,OOT
2240,OOT
2304,OOT
2368,OOT
2432,OOT
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
