n,nodes
64,8
128,16
192,14
256,17
320,47
384,90
448,339
512,835
576,1120
640,3413
704,4522
768,23565
832,34468
896,13311
960,36311
1024,121410
1088,76461
1152,279619
1216,54613
1280,221433
1344,617912
1408,873813
1472,1135957
1536,2083948
1600,2590446
1600,OOT
1664,1398101
1664,OOT
1728,2736391
1728,OOT
1792,3495253
1792,OOT
1856,3495253
1856,OOT
1920,11311975
1920,OOT
1984,5592405
1984,OOT
2048,OOT
2112,OOT
2176,OOT
2240,OOT
2304,OOT
2368,OOT
2432,OOT
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
