n,nodes
64,8
128,15
192,13
256,17
320,57
384,93
448,263
512,759
576,1103
640,3576
704,4594
768,27251
832,33472
896,11441
960,28944
1024,140880
1088,75768
1152,276368
1216,49931
1280,234059
1344,624152
1408,873813
1472,1116775
1536,2550269
1600,939367
1600,OOT
1664,1398101
1664,OOT
1728,2279098
1728,OOT
1792,1398101
1792,OOT
1856,3685903
1856,OOT
1920,11883941
1920,OOT
1984,5592405
1984,OOT
2048,OOT
2112,OOT
2176,OOT
2240,OOT
2304,OOT
2368,OOT
2432,OOT
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
