n,nodes
64,8
128,17
192,14
256,16
320,57
384,92
448,367
512,870
576,1067
640,3071
704,4171
768,23772
832,34224
896,12107
960,24499
1024,119507
1088,71864
1152,274626
1216,55281
1280,207787
1344,626237
1408,873813
1472,1135957
1536,2087034
1600,2855332
1600,OOT
1664,1398101
1664,OOT
1728,2278908
1728,OOT
1792,3495253
1792,OOT
1856,3495253
1856,OOT
1920,9087685
1920,OOT
1984,5592405
1984,OOT
2048,OOT
2112,OOT
2176,OOT
2240,OOT
2304,OOT
2368,OOT
2432,OOT
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
