n,nodes
64,8
128,16
192,12
256,17
320,54
384,91
448,345
512,789
576,1109
640,3510
704,4437
768,28135
832,35337
896,12629
960,29013
1024,133414
1088,78608
1152,286838
1216,56540
1280,214442
1344,588370
1408,848846
1472,1135957
1536,1561063
1536,OOT
1600,911289
1600,OOT
1664,1398101
1664,OOT
1728,2279054
1728,OOT
1792,1398101
1792,OOT
1856,3495253
1856,OOT
1920,OOT
1984,5592405
1984,OOT
2048,OOT
2112,OOT
2176,OOT
2240,OOT
2304,OOT
2368,OOT
2432,OOT
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
