n,nodes
64,8
128,15
192,12
256,17
320,56
384,141
448,326
512,947
576,1109
640,3762
704,4280
768,21701
832,31286
896,12117
960,28647
1024,136832
1088,87381
1152,270881
1216,53994
1280,232251
1344,605575
1408,873813
1472,1098507
1536,1520781
1600,3030272
1600,OOT
1664,1398101
1664,OOT
1728,5480653
1728,OOT
1792,3395388
1792,OOT
1856,3495253
1856,OOT
1920,5592405
1920,OOT
1984,5592405
1984,OOT
2048,OOT
2112,OOT
2176,OOT
2240,OOT
2304,OOT
2368,OOT
2432,OOT
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
