n,nodes
64,8
128,17
192,13
256,16
320,55
384,129
448,394
512,843
576,1100
640,3250
704,4522
768,22820
832,29869
896,12495
960,26021
1024,145635
1088,87381
1152,283989
1216,50972
1280,283989
1344,790694
1408,910391
1472,1260130
1536,1048575
1536,OOT
1600,349525
1600,OOT
1664,1398101
1664,OOT
1728,1398101
1728,OOT
1792,1398101
1792,OOT
1856,1398101
1856,OOT
1920,OOT
1984,OOT
2048,OOT
2112,OOT
2176,OOT
2240,OOT
2304,OOT
2368,OOT
2432,OOT
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
