n,nodes
64,9
128,15
192,12
256,16
320,56
384,127
448,424
512,754
576,1152
640,3249
704,4481
768,24575
832,29882
896,11897
960,31927
1024,98067
1088,87381
1152,268385
1216,51882
1280,239791
1344,630852
1408,910391
1472,1142350
1536,2054990
1600,2918548
1600,OOT
1664,1398101
1664,OOT
1728,6644040
1728,OOT
1792,3495253
1792,OOT
1856,3495253
1856,OOT
1920,5592405
1920,OOT
1984,5592405
1984,OOT
2048,OOT
2112,OOT
2176,OOT
2240,OOT
2304,OOT
2368,OOT
2432,OOT
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
