n,nodes
64,8
128,16
192,13
256,17
320,53
384,92
448,343
512,841
576,1109
640,3413
704,4437
768,21176
832,34133
896,13271
960,35721
1024,149193
1088,75684
1152,286838
1216,56899
1280,234839
1344,605715
1408,873813
1472,1135957
1536,1600178
1536,OOT
1600,939379
1600,OOT
1664,1398101
1664,OOT
1728,2422273
1728,OOT
1792,1398101
1792,OOT
1856,1398101
1856,OOT
1920,OOT
1984,OOT
2048,OOT
2112,OOT
2176,OOT
2240,OOT
2304,OOT
2368,OOT
2432,OOT
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
