n,nodes
64,11
128,21
192,21
256,21
320,39
384,40
448,85
512,200
576,157
640,572
704,549
768,2315
832,1119
896,3271
960,2569
1024,5461
1088,23855
1152,9393
1216,25041
1280,94174
1344,14335
1408,49418
1472,136533
1536,102093
1600,244667
1664,227597
1728,781291
1728,OOT
1792,808277
1856,1398101
1856,OOT
1920,349525
1920,OOT
1984,885210
2048,1048575
2048,OOT
2112,1398101
2112,OOT
2176,1398101
2176,OOT
2240,OOT
2304,649118
2304,OOT
2368,349525
2368,OOT
2432,OOT
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
