n,nodes
64,7
128,21
192,21
256,21
320,34
384,24
448,85
512,199
576,130
640,585
704,606
768,1477
832,1056
896,3120
960,1887
1024,5461
1088,7075
1152,8568
1216,23213
1280,107405
1344,13475
1408,42186
1472,90336
1536,82034
1600,164423
1664,106312
1728,677834
1792,669120
1856,1239528
1920,1660245
1984,559799
2048,964053
2112,700142
2112,OOT
2176,4321403
2176,OOT
2240,4445549
2240,OOT
2304,1366380
2368,2846134
2368,OOT
2432,OOT
2496,1759246
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
