n,nodes
64,8
128,21
192,21
256,21
320,37
384,25
448,85
512,161
576,102
640,615
704,602
768,1478
832,949
896,2901
960,1886
1024,5461
1088,6591
1152,6922
1216,22793
1280,82849
1344,12719
1408,38552
1472,88861
1536,90773
1600,168212
1664,98290
1728,601918
1792,583760
1856,1324299
1920,1168725
1984,511849
2048,964149
2112,700725
2112,OOT
2176,1398101
2176,OOT
2240,4216165
2240,OOT
2304,1341815
2368,3407871
2368,OOT
2432,OOT
2496,1758813
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
