n,nodes
64,8
128,21
192,21
256,21
320,35
384,24
448,85
512,175
576,120
640,587
704,612
768,1654
832,1022
896,2901
960,1847
1024,5461
1088,5912
1152,6835
1216,25191
1280,98194
1344,13062
1408,39125
1472,98929
1536,76460
1600,152747
1664,114739
1728,646049
1792,578914
1856,1340406
1920,1628276
1984,600530
2048,957950
2112,700142
2112,OOT
2176,4194303
2176,OOT
2240,4578334
2240,OOT
2304,1230088
2368,2970965
2368,OOT
2432,OOT
2496,1758993
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
