n,nodes
64,8
128,21
192,21
256,21
320,37
384,25
448,85
512,184
576,104
640,650
704,597
768,1551
832,993
896,2901
960,1877
1024,5461
1088,6645
1152,6865
1216,25431
1280,95573
1344,12463
1408,44586
1472,105818
1536,96528
1600,169305
1664,114926
1728,620648
1792,626531
1856,1355484
1920,1058022
1920,OOT
1984,482033
2048,964179
2112,700824
2112,OOT
2176,1398101
2176,OOT
2240,2839949
2240,OOT
2304,1365974
2368,349525
2368,OOT
2432,OOT
2496,1758902
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
