n,nodes
64,8
128,21
192,21
256,21
320,36
384,26
448,85
512,174
576,113
640,597
704,581
768,1505
832,996
896,2758
960,1898
1024,5461
1088,7333
1152,6990
1216,21101
1280,83197
1344,13653
1408,37081
1472,112271
1536,107326
1600,164624
1664,103815
1728,648637
1792,631577
1856,1326230
1920,1597829
1984,546146
2048,929552
2112,700415
2112,OOT
2176,3844778
2176,OOT
2240,4216182
2240,OOT
2304,1366224
2368,2846134
2368,OOT
2432,OOT
2496,1759326
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,2970991
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
