n,nodes
64,10
128,21
192,21
256,21
320,38
384,38
448,85
512,223
576,141
640,616
704,651
768,2320
832,1127
896,3287
960,2442
1024,5461
1088,37034
1152,9735
1216,32039
1280,73424
1344,12817
1408,44373
1472,115874
1536,116508
1600,218453
1664,206537
1728,699050
1728,OOT
1792,808277
1856,1398101
1856,OOT
1920,349525
1920,OOT
1984,861897
2048,1070421
2048,OOT
2112,1398101
2112,OOT
2176,1398101
2176,OOT
2240,OOT
2304,349525
2304,OOT
2368,349525
2368,OOT
2432,OOT
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
