n,nodes
64,8
128,21
192,21
256,21
320,35
384,26
448,85
512,186
576,102
640,605
704,621
768,1381
832,1038
896,3021
960,1850
1024,5461
1088,7822
1152,5709
1216,25291
1280,83525
1344,14186
1408,41381
1472,113899
1536,105507
1600,155652
1664,110510
1728,644366
1792,669692
1856,1357585
1920,1660245
1984,555242
2048,964153
2112,700278
2112,OOT
2176,3495253
2176,OOT
2240,4143749
2240,OOT
2304,1366193
2368,3407871
2368,OOT
2432,OOT
2496,1759165
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,2970965
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
