n,nodes
64,8
128,21
192,21
256,21
320,37
384,24
448,85
512,185
576,104
640,584
704,597
768,1470
832,982
896,2902
960,1877
1024,5461
1088,7296
1152,6793
1216,23896
1280,90429
1344,12775
1408,41080
1472,105818
1536,87383
1600,171590
1664,110099
1728,705406
1792,659467
1856,1333138
1920,349525
1920,OOT
1984,522739
2048,916422
2112,700687
2112,OOT
2176,1398101
2176,OOT
2240,2839949
2240,OOT
2304,1366458
2368,1847490
2368,OOT
2432,OOT
2496,1758938
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
