n,nodes
16,13
20,7
40,4
44,10
48,13
72,9
96,17
116,16
120,63
144,85
168,69
192,53
216,513
240,149
264,533
288,520
312,597
336,1109
360,2133
384,2133
408,4437
432,9557
456,9557
480,9557
504,8533
528,12629
576,42901
624,267605
672,120149
720,210814
768,349525
768,OOT
816,349525
816,OOT
864,349525
864,OOT
912,OOT
960,OOT
1008,OOT
1056,OOT
1104,OOT
1152,OOT
1200,OOT
1248,OOT
1296,OOT
1344,OOT
1392,OOT
1440,OOT
1488,OOT
1536,OOT
1632,OOT
1728,OOT
1824,OOT
1920,OOT
2016,OOT
2112,OOT
2208,OOT
2304,OOT
2400,OOT
2496,OOT
2592,OOT
2688,OOT
2784,OOT
2880,OOT
2976,OOT
3072,OOT
3168,OOT
3264,OOT
3360,OOT
3456,OOT
3552,OOT
3648,OOT
