n,nodes
16,12
20,8
40,4
44,10
48,9
72,9
96,17
116,14
120,63
144,69
168,69
192,69
216,213
240,149
264,833
288,301
312,545
336,1711
360,1723
384,1365
408,2235
432,8174
456,12424
480,13397
504,13653
528,17749
576,40430
624,42222
672,182414
720,244667
768,283989
816,4216149
864,3495253
912,2336089
960,2796885
960,OOT
1008,6355005
1008,OOT
1056,5617371
1056,OOT
1104,OOT
1152,OOT
1200,OOT
1248,OOT
1296,OOT
1344,OOT
1392,OOT
1440,OOT
1488,OOT
1536,OOT
1632,OOT
1728,OOT
1824,OOT
1920,OOT
2016,OOT
2112,OOT
2208,OOT
2304,OOT
2400,OOT
2496,OOT
2592,OOT
2688,OOT
2784,OOT
2880,OOT
2976,OOT
3072,OOT
3168,OOT
3264,OOT
3360,OOT
3456,OOT
3552,OOT
3648,OOT
