n,nodes
16,20
20,8
40,4
44,14
48,10
72,35
96,87
116,62
120,392
144,617
168,786
192,786
216,1259
240,16018
264,31838
288,67848
312,72789
336,207828
360,116476
360,OOT
384,124668
384,OOT
408,209314
408,OOT
432,OOT
456,116476
456,OOT
480,116476
480,OOT
504,OOT
528,OOT
576,OOT
624,OOT
672,OOT
720,OOT
768,OOT
816,OOT
864,OOT
912,OOT
960,OOT
1008,OOT
1056,OOT
1104,OOT
1152,OOT
1200,OOT
1248,OOT
1296,OOT
1344,OOT
1392,OOT
1440,OOT
1488,OOT
1536,OOT
1632,OOT
1728,OOT
1824,OOT
1920,OOT
2016,OOT
2112,OOT
2208,OOT
2304,OOT
2400,OOT
2496,OOT
2592,OOT
2688,OOT
2784,OOT
2880,OOT
2976,OOT
3072,OOT
3168,OOT
3264,OOT
3360,OOT
3456,OOT
3552,OOT
3648,OOT
