n,nodes
16,12
20,7
40,4
44,10
48,13
72,9
96,16
116,16
120,63
144,62
168,69
192,53
216,181
240,149
264,460
288,313
312,597
336,969
360,1533
384,2408
408,2389
432,4129
456,11093
480,8694
504,15722
528,8859
576,24411
624,24663
672,134549
720,184280
768,589142
816,3236182
816,OOT
864,1423822
912,2528599
912,OOT
960,4298105
960,OOT
1008,2719111
1008,OOT
1056,5592405
1056,OOT
1104,OOT
1152,OOT
1200,OOT
1248,OOT
1296,OOT
1344,OOT
1392,OOT
1440,OOT
1488,OOT
1536,OOT
1632,OOT
1728,OOT
1824,OOT
1920,OOT
2016,OOT
2112,OOT
2208,OOT
2304,OOT
2400,OOT
2496,OOT
2592,OOT
2688,OOT
2784,OOT
2880,OOT
2976,OOT
3072,OOT
3168,OOT
3264,OOT
3360,OOT
3456,OOT
3552,OOT
3648,OOT
