n,nodes
16,17
20,12
40,4
44,9
48,7
72,18
96,54
116,71
120,307
144,133
168,825
192,341
216,5064
240,12727
264,7635
288,15620
312,92950
336,195936
360,264489
384,526854
408,552890
408,OOM
432,382293
432,OOM
456,734382
456,OOM
480,205239
480,OOM
504,OOM
528,OOM
576,OOM
624,OOM
672,OOM
720,OOM
768,OOM
816,OOM
864,OOM
912,OOM
960,OOM
1008,OOM
1056,OOM
1104,OOM
1152,OOM
1200,OOM
1248,OOM
1296,OOM
1344,OOM
1392,OOM
1440,OOM
1488,OOM
1536,OOM
1632,OOM
1728,OOM
1824,OOM
1920,OOM
2016,OOM
2112,OOM
2208,OOM
2304,OOM
2400,OOM
2496,OOM
2592,OOM
2688,OOM
2784,OOM
2880,OOM
2976,OOM
3072,OOM
3168,OOM
3264,OOM
3360,OOM
3456,OOM
3552,OOM
3648,OOM
