n,nodes
16,15
20,6
40,4
44,9
48,7
72,29
96,50
116,66
120,291
144,442
168,597
192,341
216,1627
240,8533
264,8533
288,13555
312,68950
336,218453
360,654561
384,825664
408,1847490
432,2379026
432,OOM
456,1398101
480,1212063
480,OOM
504,1398101
504,OOM
528,3495259
528,OOM
576,OOM
624,OOM
672,OOM
720,OOM
768,OOM
816,OOM
864,OOM
912,OOM
960,OOM
1008,OOM
1056,OOM
1104,OOM
1152,OOM
1200,OOM
1248,OOM
1296,OOM
1344,OOM
1392,OOM
1440,OOM
1488,OOM
1536,OOM
1632,OOM
1728,OOM
1824,OOM
1920,OOM
2016,OOM
2112,OOM
2208,OOM
2304,OOM
2400,OOM
2496,OOM
2592,OOM
2688,OOM
2784,OOM
2880,OOM
2976,OOM
3072,OOM
3168,OOM
3264,OOM
3360,OOM
3456,OOM
3552,OOM
3648,OOM
