n,nodes
16,22
20,6
40,4
44,9
48,13
72,9
96,15
116,18
120,66
144,68
168,64
192,53
216,198
240,134
264,481
288,341
312,667
336,1151
360,2242
384,3065
408,2618
432,8570
456,11886
480,10601
504,18283
528,32941
576,36262
624,34952
672,170790
720,264043
768,349525
768,OOM
816,OOM
864,OOM
912,349525
912,OOM
960,OOM
1008,OOM
1056,OOM
1104,OOM
1152,OOM
1200,OOM
1248,OOM
1296,OOM
1344,OOM
1392,OOM
1440,OOM
1488,OOM
1536,OOM
1632,OOM
1728,OOM
1824,OOM
1920,OOM
2016,OOM
2112,OOM
2208,OOM
2304,OOM
2400,OOM
2496,OOM
2592,OOM
2688,OOM
2784,OOM
2880,OOM
2976,OOM
3072,OOM
3168,OOM
3264,OOM
3360,OOM
3456,OOM
3552,OOM
3648,OOM
