n,nodes
16,16
20,6
40,4
44,9
48,11
72,9
96,14
116,17
120,63
144,56
168,53
192,52
216,200
240,131
264,553
288,309
312,633
336,957
360,1416
384,1915
408,2497
432,3537
456,11763
480,8096
504,16074
528,6582
576,20449
624,36623
672,105585
720,150722
768,564261
816,1987940
816,OOM
864,1144151
912,520489
912,OOM
960,2807127
960,OOM
1008,2446680
1008,OOM
1056,OOM
1104,OOM
1152,OOM
1200,OOM
1248,OOM
1296,OOM
1344,OOM
1392,OOM
1440,OOM
1488,OOM
1536,OOM
1632,OOM
1728,OOM
1824,OOM
1920,OOM
2016,OOM
2112,OOM
2208,OOM
2304,OOM
2400,OOM
2496,OOM
2592,OOM
2688,OOM
2784,OOM
2880,OOM
2976,OOM
3072,OOM
3168,OOM
3264,OOM
3360,OOM
3456,OOM
3552,OOM
3648,OOM
