n,nodes
16,14
20,6
40,4
44,9
48,11
72,9
96,15
116,17
120,61
144,59
168,54
192,50
216,164
240,141
264,369
288,310
312,586
336,928
360,1164
384,1841
408,2488
432,3724
456,10828
480,9164
504,15872
528,6667
576,23447
624,37497
672,114975
720,142046
768,544678
816,2239158
816,OOM
864,1181973
912,546133
912,OOM
960,2807129
960,OOM
1008,2446680
1008,OOM
1056,OOM
1104,OOM
1152,OOM
1200,OOM
1248,OOM
1296,OOM
1344,OOM
1392,OOM
1440,OOM
1488,OOM
1536,OOM
1632,OOM
1728,OOM
1824,OOM
1920,OOM
2016,OOM
2112,OOM
2208,OOM
2304,OOM
2400,OOM
2496,OOM
2592,OOM
2688,OOM
2784,OOM
2880,OOM
2976,OOM
3072,OOM
3168,OOM
3264,OOM
3360,OOM
3456,OOM
3552,OOM
3648,OOM
