n,nodes
16,19
20,7
40,4
44,9
48,13
72,8
96,15
116,17
120,58
144,61
168,51
192,53
216,184
240,137
264,556
288,312
312,592
336,923
360,1431
384,2028
408,2754
432,3596
456,10622
480,7690
504,15046
528,6346
576,20619
624,34815
672,109691
720,147889
768,555071
816,1987937
816,OOM
864,1144151
912,564006
912,OOM
960,2807125
960,OOM
1008,2446680
1008,OOM
1056,OOM
1104,OOM
1152,OOM
1200,OOM
1248,OOM
1296,OOM
1344,OOM
1392,OOM
1440,OOM
1488,OOM
1536,OOM
1632,OOM
1728,OOM
1824,OOM
1920,OOM
2016,OOM
2112,OOM
2208,OOM
2304,OOM
2400,OOM
2496,OOM
2592,OOM
2688,OOM
2784,OOM
2880,OOM
2976,OOM
3072,OOM
3168,OOM
3264,OOM
3360,OOM
3456,OOM
3552,OOM
3648,OOM
