n,nodes
16,16
20,6
40,4
44,9
48,11
72,8
96,15
116,16
120,63
144,60
168,53
192,45
216,181
240,149
264,453
288,304
312,597
336,979
360,1156
384,1821
408,2389
432,3578
456,11093
480,8534
504,15189
528,6661
576,21212
624,40413
672,131072
720,142894
768,512152
816,1987942
816,OOM
864,1138356
912,554682
912,OOM
960,OOM
1008,2446682
1008,OOM
1056,OOM
1104,OOM
1152,OOM
1200,OOM
1248,OOM
1296,OOM
1344,OOM
1392,OOM
1440,OOM
1488,OOM
1536,OOM
1632,OOM
1728,OOM
1824,OOM
1920,OOM
2016,OOM
2112,OOM
2208,OOM
2304,OOM
2400,OOM
2496,OOM
2592,OOM
2688,OOM
2784,OOM
2880,OOM
2976,OOM
3072,OOM
3168,OOM
3264,OOM
3360,OOM
3456,OOM
3552,OOM
3648,OOM
