n,nodes
16,13
20,6
40,4
44,9
48,11
72,9
96,13
116,17
120,61
144,59
168,53
192,45
216,167
240,151
264,432
288,306
312,650
336,967
360,1469
384,2294
408,2168
432,3865
456,14425
480,9471
504,16383
528,9735
576,25339
624,35067
672,115875
720,204978
768,587837
816,1398101
816,OOM
864,1365333
864,OOM
912,546133
912,OOM
960,2807126
960,OOM
1008,OOM
1056,OOM
1104,OOM
1152,OOM
1200,OOM
1248,OOM
1296,OOM
1344,OOM
1392,OOM
1440,OOM
1488,OOM
1536,OOM
1632,OOM
1728,OOM
1824,OOM
1920,OOM
2016,OOM
2112,OOM
2208,OOM
2304,OOM
2400,OOM
2496,OOM
2592,OOM
2688,OOM
2784,OOM
2880,OOM
2976,OOM
3072,OOM
3168,OOM
3264,OOM
3360,OOM
3456,OOM
3552,OOM
3648,OOM
