n,nodes
16,18
20,7
40,4
44,9
48,13
72,7
96,17
116,18
120,62
144,68
168,71
192,51
216,215
240,145
264,509
288,341
312,705
336,1124
360,1825
384,3168
408,2353
432,9483
456,14472
480,9316
504,17352
528,33746
576,35980
624,38941
672,170790
720,258344
768,349525
768,OOM
816,OOM
864,OOM
912,349525
912,OOM
960,OOM
1008,OOM
1056,OOM
1104,OOM
1152,OOM
1200,OOM
1248,OOM
1296,OOM
1344,OOM
1392,OOM
1440,OOM
1488,OOM
1536,OOM
1632,OOM
1728,OOM
1824,OOM
1920,OOM
2016,OOM
2112,OOM
2208,OOM
2304,OOM
2400,OOM
2496,OOM
2592,OOM
2688,OOM
2784,OOM
2880,OOM
2976,OOM
3072,OOM
3168,OOM
3264,OOM
3360,OOM
3456,OOM
3552,OOM
3648,OOM
