n,nodes
16,17
20,6
40,4
44,9
48,10
72,9
96,14
116,17
120,63
144,57
168,49
192,48
216,183
240,155
264,469
288,301
312,554
336,861
360,1258
384,2133
408,2283
432,3398
456,12997
480,8754
504,17376
528,10322
576,29205
624,35866
672,112587
720,188176
768,611669
816,1398101
816,OOM
864,1415014
864,OOM
912,536771
912,OOM
960,2807126
960,OOM
1008,OOM
1056,OOM
1104,OOM
1152,OOM
1200,OOM
1248,OOM
1296,OOM
1344,OOM
1392,OOM
1440,OOM
1488,OOM
1536,OOM
1632,OOM
1728,OOM
1824,OOM
1920,OOM
2016,OOM
2112,OOM
2208,OOM
2304,OOM
2400,OOM
2496,OOM
2592,OOM
2688,OOM
2784,OOM
2880,OOM
2976,OOM
3072,OOM
3168,OOM
3264,OOM
3360,OOM
3456,OOM
3552,OOM
3648,OOM
