n,nodes
16,17
20,6
40,4
44,9
48,11
72,9
96,15
116,18
120,63
144,61
168,53
192,46
216,181
240,149
264,453
288,312
312,597
336,950
360,1238
384,1749
408,2389
432,3551
456,11519
480,9463
504,15189
528,6679
576,21179
624,39753
672,120149
720,141226
768,565067
816,1916159
816,OOM
864,1143761
912,546133
912,OOM
960,OOM
1008,2446682
1008,OOM
1056,OOM
1104,OOM
1152,OOM
1200,OOM
1248,OOM
1296,OOM
1344,OOM
1392,OOM
1440,OOM
1488,OOM
1536,OOM
1632,OOM
1728,OOM
1824,OOM
1920,OOM
2016,OOM
2112,OOM
2208,OOM
2304,OOM
2400,OOM
2496,OOM
2592,OOM
2688,OOM
2784,OOM
2880,OOM
2976,OOM
3072,OOM
3168,OOM
3264,OOM
3360,OOM
3456,OOM
3552,OOM
3648,OOM
