n,nodes
16,21
20,10
40,4
44,9
48,7
72,20
96,56
116,64
120,315
144,145
168,760
192,341
216,5754
240,12373
264,8287
288,15378
312,86383
336,195565
360,277309
384,605755
408,2965244
432,4032511
432,OOT
456,760789
480,1857966
504,5602133
504,OOT
528,5898581
528,OOT
576,5985621
576,OOT
624,6116693
624,OOT
672,OOT
720,OOT
768,OOT
816,OOT
864,OOT
912,OOT
960,OOT
1008,OOT
1056,OOT
1104,OOT
1152,OOT
1200,OOT
1248,OOT
1296,OOT
1344,OOT
1392,OOT
1440,OOT
1488,OOT
1536,OOT
1632,OOT
1728,OOT
1824,OOT
1920,OOT
2016,OOT
2112,OOT
2208,OOT
2304,OOT
2400,OOT
2496,OOT
2592,OOT
2688,OOT
2784,OOT
2880,OOT
2976,OOT
3072,OOT
3168,OOT
3264,OOT
3360,OOT
3456,OOT
3552,OOT
3648,OOT
