n,nodes
16,15
20,9
40,4
44,9
48,6
72,14
96,57
116,71
120,320
144,134
168,737
192,341
216,3457
240,12498
264,7537
288,13643
312,78141
336,203927
360,248533
384,454423
408,2733501
432,4379856
432,OOT
456,717118
480,2048291
504,5602133
504,OOT
528,8619787
528,OOT
576,6936458
576,OOT
624,6116693
624,OOT
672,OOT
720,OOT
768,OOT
816,OOT
864,OOT
912,OOT
960,OOT
1008,OOT
1056,OOT
1104,OOT
1152,OOT
1200,OOT
1248,OOT
1296,OOT
1344,OOT
1392,OOT
1440,OOT
1488,OOT
1536,OOT
1632,OOT
1728,OOT
1824,OOT
1920,OOT
2016,OOT
2112,OOT
2208,OOT
2304,OOT
2400,OOT
2496,OOT
2592,OOT
2688,OOT
2784,OOT
2880,OOT
2976,OOT
3072,OOT
3168,OOT
3264,OOT
3360,OOT
3456,OOT
3552,OOT
3648,OOT
