n,nodes
16,15
20,8
40,4
44,9
48,6
72,14
96,55
116,70
120,373
144,146
168,700
192,341
216,3112
240,12114
264,7523
288,14805
312,79345
336,234406
360,314083
384,592517
408,2517599
432,3649043
432,OOT
456,760789
480,2308805
504,5602133
504,OOT
528,5898581
528,OOT
576,6936459
576,OOT
624,6116693
624,OOT
672,OOT
720,OOT
768,OOT
816,OOT
864,OOT
912,OOT
960,OOT
1008,OOT
1056,OOT
1104,OOT
1152,OOT
1200,OOT
1248,OOT
1296,OOT
1344,OOT
1392,OOT
1440,OOT
1488,OOT
1536,OOT
1632,OOT
1728,OOT
1824,OOT
1920,OOT
2016,OOT
2112,OOT
2208,OOT
2304,OOT
2400,OOT
2496,OOT
2592,OOT
2688,OOT
2784,OOT
2880,OOT
2976,OOT
3072,OOT
3168,OOT
3264,OOT
3360,OOT
3456,OOT
3552,OOT
3648,OOT
