n,nodes
16,15
20,8
40,4
44,9
48,6
72,15
96,60
116,65
120,279
144,143
168,691
192,341
216,2623
240,11984
264,7577
288,14766
312,88515
336,202485
360,306101
384,513286
408,3881665
432,4862861
432,OOT
456,776483
480,2203125
504,5602133
504,OOT
528,9664648
528,OOT
576,8663543
576,OOT
624,6116693
624,OOT
672,OOT
720,OOT
768,OOT
816,OOT
864,OOT
912,OOT
960,OOT
1008,OOT
1056,OOT
1104,OOT
1152,OOT
1200,OOT
1248,OOT
1296,OOT
1344,OOT
1392,OOT
1440,OOT
1488,OOT
1536,OOT
1632,OOT
1728,OOT
1824,OOT
1920,OOT
2016,OOT
2112,OOT
2208,OOT
2304,OOT
2400,OOT
2496,OOT
2592,OOT
2688,OOT
2784,OOT
2880,OOT
2976,OOT
3072,OOT
3168,OOT
3264,OOT
3360,OOT
3456,OOT
3552,OOT
3648,OOT
