n,nodes
16,16
20,8
40,4
44,9
48,6
72,14
96,52
116,75
120,338
144,141
168,649
192,341
216,3115
240,11861
264,7523
288,14805
312,80381
336,229640
360,285707
384,619116
408,2984042
432,3674746
432,OOT
456,736126
480,1928339
504,5602133
504,OOT
528,7803425
528,OOT
576,8356312
576,OOT
624,6116693
624,OOT
672,OOT
720,OOT
768,OOT
816,OOT
864,OOT
912,OOT
960,OOT
1008,OOT
1056,OOT
1104,OOT
1152,OOT
1200,OOT
1248,OOT
1296,OOT
1344,OOT
1392,OOT
1440,OOT
1488,OOT
1536,OOT
1632,OOT
1728,OOT
1824,OOT
1920,OOT
2016,OOT
2112,OOT
2208,OOT
2304,OOT
2400,OOT
2496,OOT
2592,OOT
2688,OOT
2784,OOT
2880,OOT
2976,OOT
3072,OOT
3168,OOT
3264,OOT
3360,OOT
3456,OOT
3552,OOT
3648,OOT
