n,nodes
16,13
20,6
40,4
44,9
48,7
72,28
96,47
116,63
120,294
144,501
168,627
192,341
216,1729
240,9382
264,9793
288,13653
312,69585
336,187472
360,567160
384,772988
408,2147083
432,7254781
456,1398101
480,2315605
504,1398101
504,OOT
528,12932445
528,OOT
576,11184810
576,OOT
624,OOT
672,OOT
720,OOT
768,OOT
816,OOT
864,OOT
912,OOT
960,OOT
1008,OOT
1056,OOT
1104,OOT
1152,OOT
1200,OOT
1248,OOT
1296,OOT
1344,OOT
1392,OOT
1440,OOT
1488,OOT
1536,OOT
1632,OOT
1728,OOT
1824,OOT
1920,OOT
2016,OOT
2112,OOT
2208,OOT
2304,OOT
2400,OOT
2496,OOT
2592,OOT
2688,OOT
2784,OOT
2880,OOT
2976,OOT
3072,OOT
3168,OOT
3264,OOT
3360,OOT
3456,OOT
3552,OOT
3648,OOT
