n,nodes
16,16
20,7
40,4
44,9
48,7
72,27
96,52
116,69
120,294
144,456
168,556
192,341
216,1889
240,8343
264,8834
288,12683
312,72335
336,205602
360,588737
384,765111
408,1884026
432,6757489
456,1398101
480,2315605
504,1398101
504,OOT
528,14163378
528,OOT
576,12886846
576,OOT
624,OOT
672,OOT
720,OOT
768,OOT
816,OOT
864,OOT
912,OOT
960,OOT
1008,OOT
1056,OOT
1104,OOT
1152,OOT
1200,OOT
1248,OOT
1296,OOT
1344,OOT
1392,OOT
1440,OOT
1488,OOT
1536,OOT
1632,OOT
1728,OOT
1824,OOT
1920,OOT
2016,OOT
2112,OOT
2208,OOT
2304,OOT
2400,OOT
2496,OOT
2592,OOT
2688,OOT
2784,OOT
2880,OOT
2976,OOT
3072,OOT
3168,OOT
3264,OOT
3360,OOT
3456,OOT
3552,OOT
3648,OOT
