n,nodes
16,14
20,7
40,4
44,9
48,8
72,29
96,55
116,64
120,308
144,450
168,584
192,341
216,1751
240,8533
264,8533
288,13141
312,70625
336,218453
360,643684
384,986267
408,1872456
432,5292811
432,OOT
456,1398101
480,2280439
504,1398101
504,OOT
528,10573145
528,OOT
576,8738139
576,OOT
624,OOT
672,OOT
720,OOT
768,OOT
816,OOT
864,OOT
912,OOT
960,OOT
1008,OOT
1056,OOT
1104,OOT
1152,OOT
1200,OOT
1248,OOT
1296,OOT
1344,OOT
1392,OOT
1440,OOT
1488,OOT
1536,OOT
1632,OOT
1728,OOT
1824,OOT
1920,OOT
2016,OOT
2112,OOT
2208,OOT
2304,OOT
2400,OOT
2496,OOT
2592,OOT
2688,OOT
2784,OOT
2880,OOT
2976,OOT
3072,OOT
3168,OOT
3264,OOT
3360,OOT
3456,OOT
3552,OOT
3648,OOT
